artist_name,artist_country,artist_sex,artist_year,requests_cnt
the rolling stones,UK,,0.0,3
grateful dead,USA,,,1
the zombies,,,,1
creedence clearwater revival,USA,,,1
the cranberries,Argentina,,0.0,2
simon & garfunkel,USA,,,3
fleetwood mac,UK,,,2
lou reed,USA,male,1967.0,1
nina simone,USA,,,1
aretha franklin,USA,,,2
bruce springsteen,USA,male,0.0,1
bob dylan,USA,,,2
the doors,,,0.0,1
etta james,USA,female,0.0,1
the velvet underground,Australia,,,1
bill withers,USA,male,0.0,1
stevie wonder,USA,,,2
the jimi hendrix experience,USA,,,1
cat stevens,UK,male,0.0,1
cream,UK,,,2
steely dan,USA,,,2
joe cocker,UK,,,2
tom petty,USA,,,1
tom petty and the heartbreakers,USA,,,1
the allman brothers band,USA,,,2
janis joplin,USA,,,2
the doobie brothers,Mexico,,2012.0,1
pops staples,Haiti,,,1
roy harper,UK,,1966.0,1
roxette,Sweden,,,1
christina perri,USA,female,0.0,1
bon iver,USA,,,1
mazzy star,USA,,,1
coldplay,UK,male,0.0,1
nancy sinatra,USA,,,1
take that,UK,,,1
poets of the fall,,,,1
taylor swift,USA,,,1
ed sheeran,UK,,,2
feist,Canada,,,1
lord huron,USA,,,1
jason mraz,USA,,,1
josé james,USA,,,1
ariana grande,USA,,,1
mick jagger,UK,,,1
cider sky,USA,,,1
susan boyle,UK,,,1
lenka,Australia,,,1
mindy gledhill,,,,1
michael bublé,Canada,male,0.0,3
jay-jay johanson,Sweden,,,1
leona lewis,UK,female,0.0,1
mindy smith,USA,,,1
marvin gaye,USA,male,0.0,1
birdy,UK,,,1
sam smith,UK,male,0.0,1
matt corby,Australia,,,1
carpenters,USA,,,2
the raveonettes,,,,1
brett bixby,USA,,0.0,1
meaghan smith,,,,1
ingrid michaelson,USA,,,1
jp saxe,Canada,,,1
the features,,,,1
eartha kitt,USA,female,1952.0,1
