ym_track_id,emotion,NO,YES,rate
418356,comfortable,0,3,1.0
16776,comfortable,0,3,1.0
36848605,comfortable,0,3,1.0
36356895,comfortable,0,3,1.0
35599628,comfortable,0,3,1.0
35419597,comfortable,0,3,1.0
36324685,comfortable,0,3,1.0
36323237,comfortable,0,3,1.0
696371,comfortable,0,3,1.0
328875,comfortable,0,3,1.0
53447834,comfortable,0,3,1.0
51042641,comfortable,0,3,1.0
3974249,comfortable,0,3,1.0
3954235,comfortable,0,3,1.0
33954020,comfortable,0,3,1.0
63213721,comfortable,0,3,1.0
36006379,comfortable,0,3,1.0
37028436,comfortable,0,3,1.0
37009179,comfortable,0,3,1.0
36898741,comfortable,0,3,1.0
354102,comfortable,0,3,1.0
37538341,comfortable,0,3,1.0
458230,comfortable,0,3,1.0
3586408,comfortable,0,3,1.0
4227319,comfortable,0,3,1.0
37767576,comfortable,0,3,1.0
28683893,comfortable,0,3,1.0
645159,comfortable,0,3,1.0
692297,comfortable,0,3,1.0
4428742,comfortable,0,3,1.0
4463800,comfortable,0,3,1.0
37285536,comfortable,0,3,1.0
53028363,comfortable,0,3,1.0
33943191,comfortable,0,3,1.0
296205,comfortable,0,3,1.0
24956447,comfortable,0,3,1.0
29678146,comfortable,0,3,1.0
21307877,comfortable,0,3,1.0
50663827,comfortable,0,3,1.0
55860818,comfortable,0,3,1.0
27293993,comfortable,0,3,1.0
27373822,comfortable,0,3,1.0
10339368,comfortable,0,3,1.0
23843412,comfortable,0,3,1.0
28060067,comfortable,0,3,1.0
345905,comfortable,0,3,1.0
28949360,comfortable,0,3,1.0
351724,comfortable,0,3,1.0
29569939,comfortable,0,3,1.0
354089,comfortable,0,3,1.0
29668664,comfortable,0,3,1.0
30196763,comfortable,0,3,1.0
393246,comfortable,0,3,1.0
30478293,comfortable,0,3,1.0
30478298,comfortable,0,3,1.0
30478310,comfortable,0,3,1.0
53721440,comfortable,0,3,1.0
30593297,comfortable,0,3,1.0
29732355,comfortable,0,3,1.0
31021948,comfortable,0,3,1.0
46477,comfortable,0,3,1.0
31704436,comfortable,0,3,1.0
31707936,comfortable,0,3,1.0
54234210,comfortable,0,3,1.0
3588048,comfortable,0,3,1.0
32150274,comfortable,0,3,1.0
653729,comfortable,0,3,1.0
9646947,comfortable,0,3,1.0
38870992,comfortable,0,3,1.0
56156675,comfortable,0,3,1.0
3526,comfortable,0,3,1.0
83795,comfortable,0,3,1.0
46072090,comfortable,0,3,1.0
35580707,comfortable,0,3,1.0
576967,comfortable,0,3,1.0
8775,comfortable,0,3,1.0
51076570,comfortable,0,3,1.0
45431133,comfortable,0,3,1.0
40330534,comfortable,0,3,1.0
45302650,comfortable,0,3,1.0
45298719,comfortable,0,3,1.0
45292070,comfortable,0,3,1.0
51076581,comfortable,0,3,1.0
44853410,comfortable,0,3,1.0
44853407,comfortable,0,3,1.0
2806750,comfortable,0,3,1.0
2806756,comfortable,0,3,1.0
45209490,comfortable,0,3,1.0
46750313,comfortable,0,3,1.0
632004,comfortable,1,2,0.6666666666666666
47311398,comfortable,0,3,1.0
49081704,comfortable,0,3,1.0
49081705,comfortable,0,3,1.0
49081712,comfortable,0,3,1.0
49198564,comfortable,0,3,1.0
634175,comfortable,0,3,1.0
48799497,comfortable,0,3,1.0
49907499,comfortable,0,3,1.0
6497938,comfortable,0,3,1.0
645550,comfortable,0,3,1.0
628397,comfortable,0,3,1.0
45152283,comfortable,0,3,1.0
44853406,comfortable,0,3,1.0
51076620,comfortable,0,3,1.0
655976,comfortable,0,3,1.0
63496,comfortable,0,3,1.0
51241318,comfortable,0,3,1.0
40548548,comfortable,0,3,1.0
37453967,comfortable,0,3,1.0
36999048,comfortable,0,3,1.0
48591886,comfortable,0,3,1.0
30163817,comfortable,0,3,1.0
41389779,comfortable,0,2,1.0
674956,comfortable,0,3,1.0
645324,comfortable,0,3,1.0
646362,comfortable,0,3,1.0
672626,comfortable,0,3,1.0
691160,comfortable,0,3,1.0
666491,comfortable,0,3,1.0
795836,comfortable,0,3,1.0
39546,comfortable,0,3,1.0
21017693,comfortable,0,3,1.0
16514403,comfortable,0,3,1.0
70503,comfortable,0,3,1.0
17288,comfortable,0,3,1.0
781636,comfortable,0,3,1.0
629007,comfortable,0,3,1.0
8412,comfortable,0,3,1.0
43526317,comfortable,0,3,1.0
21827004,comfortable,0,3,1.0
43526309,comfortable,0,3,1.0
6680327,comfortable,0,3,1.0
35452133,comfortable,0,3,1.0
43576363,comfortable,0,3,1.0
5304415,comfortable,0,3,1.0
13245364,comfortable,0,3,1.0
26503211,comfortable,0,3,1.0
50653896,comfortable,0,3,1.0
37390,comfortable,0,3,1.0
148602,comfortable,0,3,1.0
74529181,comfortable,0,3,1.0
75365998,comfortable,0,3,1.0
120436,comfortable,0,3,1.0
12354045,comfortable,0,3,1.0
50623425,comfortable,0,3,1.0
12517846,comfortable,0,3,1.0
12614239,comfortable,0,3,1.0
59579741,comfortable,0,3,1.0
1552,comfortable,0,3,1.0
1571,comfortable,0,3,1.0
74337505,comfortable,0,3,1.0
35951249,comfortable,0,3,1.0
147378,comfortable,0,3,1.0
30076460,comfortable,0,3,1.0
23419668,comfortable,0,3,1.0
280529,comfortable,0,3,1.0
1422989,comfortable,0,3,1.0
153095,comfortable,0,2,1.0
1528999,comfortable,0,3,1.0
14212029,comfortable,0,3,1.0
1249599,comfortable,0,3,1.0
14629883,comfortable,0,3,1.0
1783,comfortable,0,3,1.0
102940,comfortable,0,3,1.0
8719603,comfortable,0,3,1.0
78063,comfortable,0,3,1.0
15536929,comfortable,0,3,1.0
10184,comfortable,0,3,1.0
171413,comfortable,0,3,1.0
74303961,comfortable,0,3,1.0
73753389,comfortable,0,3,1.0
73640329,comfortable,0,3,1.0
73641962,comfortable,0,3,1.0
9550001,comfortable,0,3,1.0
62563609,comfortable,0,3,1.0
5000084,comfortable,0,3,1.0
71052,comfortable,0,3,1.0
32957,comfortable,0,3,1.0
22305429,comfortable,0,3,1.0
37901417,comfortable,0,3,1.0
2665,comfortable,0,3,1.0
2678,comfortable,0,3,1.0
61779445,comfortable,0,3,1.0
68355481,comfortable,0,3,1.0
68356416,comfortable,0,3,1.0
10513719,comfortable,0,3,1.0
25252899,comfortable,0,3,1.0
24413245,comfortable,0,3,1.0
10637489,comfortable,0,3,1.0
60845289,comfortable,0,3,1.0
60477311,comfortable,0,3,1.0
60406449,comfortable,0,3,1.0
70817393,comfortable,0,3,1.0
70876453,comfortable,0,3,1.0
43782318,comfortable,0,3,1.0
4591211,comfortable,0,3,1.0
4591219,comfortable,0,3,1.0
654329,comfortable,0,3,1.0
72971186,comfortable,0,3,1.0
9976316,comfortable,0,3,1.0
556475,comfortable,0,3,1.0
37539956,comfortable,0,3,1.0
14145383,comfortable,0,3,1.0
1722292,comfortable,0,3,1.0
70923,comfortable,0,3,1.0
35699089,comfortable,0,3,1.0
237090,comfortable,0,3,1.0
21259169,comfortable,0,3,1.0
21133234,comfortable,0,3,1.0
21052522,comfortable,0,3,1.0
21711431,comfortable,0,3,1.0
632092,comfortable,0,3,1.0
21828599,comfortable,0,3,1.0
250610,comfortable,0,3,1.0
5461592,comfortable,0,3,1.0
22499261,comfortable,0,3,1.0
523715,comfortable,0,3,1.0
529649,comfortable,0,3,1.0
57985312,comfortable,0,3,1.0
23269109,comfortable,0,3,1.0
23811888,comfortable,0,3,1.0
2774898,comfortable,0,3,1.0
88982,comfortable,0,3,1.0
24111743,comfortable,0,3,1.0
24235112,comfortable,0,3,1.0
24406561,comfortable,0,3,1.0
25182567,comfortable,0,3,1.0
1052883,comfortable,0,3,1.0
2749752,comfortable,0,3,1.0
56658570,comfortable,0,3,1.0
24910691,comfortable,0,3,1.0
24915947,comfortable,0,3,1.0
25109882,comfortable,0,3,1.0
24663745,comfortable,0,3,1.0
25625764,comfortable,0,3,1.0
12179,comfortable,0,3,1.0
5016404,comfortable,0,3,1.0
659901,comfortable,0,3,1.0
629663,comfortable,0,3,1.0
16717584,comfortable,0,3,1.0
16849401,comfortable,0,3,1.0
25903422,comfortable,0,3,1.0
16801664,comfortable,0,3,1.0
17190980,comfortable,0,3,1.0
56437143,comfortable,0,3,1.0
2844190,comfortable,0,3,1.0
17307465,comfortable,0,3,1.0
25200,comfortable,0,3,1.0
18088709,comfortable,0,3,1.0
4977743,comfortable,0,3,1.0
24995204,comfortable,0,3,1.0
19014505,comfortable,0,3,1.0
16303724,comfortable,0,3,1.0
202215,comfortable,0,3,1.0
268759,comfortable,0,3,1.0
905616,comfortable,0,3,1.0
25882,comfortable,0,3,1.0
19012224,comfortable,0,3,1.0
19012231,comfortable,0,3,1.0
26430030,comfortable,0,3,1.0
2192903,comfortable,0,3,1.0
5657210,comfortable,0,3,1.0
208396,comfortable,0,3,1.0
378874,comfortable,0,3,1.0
39058331,comfortable,1,2,0.6666666666666666
975,comfortable,1,2,0.6666666666666666
84165,comfortable,1,2,0.6666666666666666
2280250,comfortable,1,2,0.6666666666666666
772999,comfortable,1,2,0.6666666666666666
54555,comfortable,1,2,0.6666666666666666
53639833,comfortable,1,2,0.6666666666666666
58515178,comfortable,1,2,0.6666666666666666
58586071,comfortable,1,2,0.6666666666666666
49167944,comfortable,1,2,0.6666666666666666
515897,comfortable,1,2,0.6666666666666666
43075392,comfortable,1,2,0.6666666666666666
59371567,comfortable,1,2,0.6666666666666666
16463344,comfortable,1,2,0.6666666666666666
148669,comfortable,1,2,0.6666666666666666
9442712,comfortable,1,2,0.6666666666666666
34174112,comfortable,1,2,0.6666666666666666
28222194,comfortable,1,2,0.6666666666666666
16221952,comfortable,1,2,0.6666666666666666
49231472,comfortable,1,2,0.6666666666666666
83662,comfortable,1,2,0.6666666666666666
25889245,comfortable,1,2,0.6666666666666666
24606707,comfortable,1,2,0.6666666666666666
24111111,comfortable,1,2,0.6666666666666666
23565548,comfortable,1,2,0.6666666666666666
23204306,comfortable,1,2,0.6666666666666666
22408881,comfortable,1,2,0.6666666666666666
21217686,comfortable,1,2,0.6666666666666666
2154111,comfortable,1,2,0.6666666666666666
654079,comfortable,1,2,0.6666666666666666
16308067,comfortable,1,2,0.6666666666666666
15451554,comfortable,1,2,0.6666666666666666
2308847,comfortable,1,2,0.6666666666666666
78094551,comfortable,1,2,0.6666666666666666
77636140,comfortable,1,2,0.6666666666666666
60716256,comfortable,1,2,0.6666666666666666
