track_id,keywords,weights
18908768,friend nobody;stupid things;light;end;hold tight ooh;right way;door;kid;much freedom;night,0.9999999403953552;0.9410366415977478;0.7432262301445007;0.6528810262680054;0.7272464036941528;0.7259752154350281;0.48211389780044556;0.48848336935043335;0.514265775680542;0.48592057824134827
43593895,pressure building pressure building;ground;tuning;strain;corruption;one;pressure;back;lane;edge,1.0;0.37775295972824097;0.13803251087665558;0.4235958456993103;0.11767953634262085;0.09822433441877365;0.8631839752197266;0.06437663733959198;0.13686972856521606;0.26995164155960083
159469,time;cradle;prayer;heart;days;touch;world;dream;nothing;moments,1.0;0.5607443451881409;0.5997519493103027;0.5305211544036865;0.5879367589950562;0.37795066833496094;0.49202603101730347;0.4439695477485657;0.3022726774215698;0.6833090782165527
20924653,calm searching;sea;love;shell;storm;stones;north;tune;waves;sands,1.0;0.9050350785255432;0.8188077211380005;0.6295576095581055;0.7073918581008911;0.4914715588092804;0.3433046340942383;0.5819599032402039;0.7266405820846558;0.603920042514801
17315034,yeah;god;cannabis;eye infection;stones;platypus;throne;buzz;home;long hair,0.9999999403953552;0.7007801532745361;0.2854808568954468;0.34214332699775696;0.22534018754959106;0.254023939371109;0.26434019207954407;0.2803768813610077;0.13213080167770386;0.2825797200202942
45239765,loot loot;gim;baby tape;dange boss;money;wrist;loot pum;trap;flip;loot,1.0;0.3878767192363739;0.27106741070747375;0.3383632004261017;0.4162794351577759;0.27640295028686523;0.9065778851509094;0.19964063167572021;0.14899323880672455;1.0
2093847,tears;peril;mind;hued damask;shadows;emotional depths;bones;heart;beautiful moments;distance,1.0;0.7234711647033691;0.681369960308075;0.7279300093650818;0.815034806728363;0.8711996078491211;0.6076415777206421;0.8137834668159485;0.8471350073814392;0.6230139136314392
21712360,pain;eyes;life;lie;trust;emptiness;day;behavior;thoughts;fire,1.0;0.5778749585151672;0.8469883799552917;0.32322973012924194;0.19989332556724548;0.9144864082336426;0.21000632643699646;0.27510833740234375;0.5102397203445435;0.31463146209716797
26676899,new ways;time;something;ways;tryna;brain;subtle way;face;dirty mind,1.0;0.49371784925460815;0.4255672097206116;0.8818166851997375;0.07909796386957169;0.2678169906139374;0.6491344571113586;0.22675542533397675;0.27502015233039856
648930,car;girl;tiananmen square;reason;fashion;dreams;television;one;kids;country,1.0;0.8753846287727356;0.4408968985080719;0.23656222224235535;0.3890863358974457;0.46029090881347656;0.3722412586212158;0.24190588295459747;0.45761924982070923;0.34479689598083496
62431979,aim boy;chamber breathe;bullet;eyes;nobody;move;killer;fool;burden;soldier,1.0;0.9813764691352844;0.9296817779541016;0.7980759739875793;0.6222530603408813;0.5896033048629761;0.45991602540016174;0.5929014682769775;0.28876426815986633;0.6374583840370178
1158096,day;life;smell;place;slave;fronts;day someone;everything;heart;many times,1.0;0.3293236494064331;0.16812995076179504;0.21101920306682587;0.17333240807056427;0.11385288089513779;0.7156387567520142;0.24002309143543243;0.18560633063316345;0.19154725968837738
5471462,vibe bitch;feeling emotions;new life;rich look;sinner;pedestal bitch;sync;vibe explain;girlfriend;shit,1.0;0.4895325303077698;0.3657183349132538;0.35141223669052124;0.3541978895664215;0.6701850891113281;0.254736989736557;0.6719899773597717;0.35926562547683716;0.4529730975627899
42711508,run;fear 'cause;gun;fun;soul;control;running;time;home;war 'cause,1.0;0.7706348896026611;0.6997812986373901;0.4961409568786621;0.23323026299476624;0.20036278665065765;0.893616259098053;0.27018409967422485;0.09500554949045181;0.3865199685096741
4448874,final countdown;many light years;ground;things;tall cause;venus;farewell;ohhh;earth;one,1.0;0.2387988269329071;0.32262110710144043;0.31877997517585754;0.24462774395942688;0.26998278498649597;0.2989206910133362;0.25163906812667847;0.3590036928653717;0.14297819137573242
215618,anyone;love;way;strength;truth;side;laugh;home;time;one,1.0;0.8277803063392639;0.8100030422210693;0.6182364225387573;0.6822642087936401;0.6817963719367981;0.5917023420333862;0.37326374650001526;0.6481364369392395;0.5029222369194031
1707252,gettin worried teardrops;racism cause;life;cemetery shit;heartless breath;dead peers mislead;violent robberies;nigga;son;black male slippin,1.0;0.6876974701881409;0.7451064586639404;0.8287952542304993;0.7848861813545227;0.6578692197799683;0.6028082966804504;0.8668860793113708;0.5713086128234863;0.6028134822845459
