track_id,keywords,weights
18908768,call,1.0
687166,friend;good something;mus;look;something;love,0.9999999403953552;0.7744781970977783;0.5450208187103271;0.4858907461166382;0.6159248948097229;0.5842008590698242
73519787,mor;body,0.9999999403953552;0.7378833293914795
56569219,trouble,1.0
55392788,niger company ish protec tor;different mention order;niger company;british governmenteight children;business;ablish simple tru brites;nigeria;government;world;terr,1.0;0.4245038330554962;0.9310126900672913;0.36342447996139526;0.30934938788414;0.2859329879283905;0.5266258716583252;0.3027811646461487;0.23843605816364288;0.29340994358062744
159469,time;talk,1.0;0.44207078218460083
20924653,call,1.0
17315034,play play;body;friend,1.0;0.594972550868988;0.6097649931907654
56569225,day man;land line;king talk call mus;world;day water;way clo;sun;boy;play day;door,1.0;0.9918928742408752;0.642228901386261;0.5024005174636841;0.8447853922843933;0.4986029267311096;0.43342483043670654;0.5766997933387756;0.8685345649719238;0.4799947142601013
45239765,look,1.0
689836,dont quest quest;log;dont;fam,1.0;0.3928746283054352;0.8158273100852966;0.518799364566803
21712360,right wayright;right;day,1.0;1.0;0.31756410002708435
26676899,something,1.0
62431979,thing;shop;function;time;say;name;world;kind;back;make,1.0;0.9023246169090271;0.7878552675247192;0.8848767876625061;0.5340730547904968;0.5893074870109558;0.5418696999549866;0.7950981855392456;0.3105422854423523;0.5091686248779297
1158096,good good doestday;need;mother;good mother doesday;talk;day;old need,1.0;0.5202917456626892;0.19241726398468018;0.8769145011901855;0.18673914670944214;0.1086995080113411;0.5511516332626343
5471462,mind;energy way;life mother;world something;nse;feel chang;mind love;side;care;mus,1.0;0.5475316643714905;0.4923590123653412;0.42631796002388;0.2487214207649231;0.26547396183013916;0.8636665344238281;0.22555187344551086;0.13562831282615662;0.2794629633426666
42711508,donrun donshould love gott;fas;gott;donshould love;run,1.0;0.37792375683784485;0.74222731590271;0.6775165796279907;0.33727478981018066
4448874,goodbye;way;phone,1.0;0.42717674374580383;0.47743523120880127
215618,feel love;king;str;love;time,1.0;0.8637419939041138;0.5455510020256042;0.9474489092826843;0.4313685894012451
1707252,play;time phone bab;mother;change str;sun;black time;bre play;feel;life;day,1.0;0.9176005125045776;0.7746699452400208;0.7083101272583008;0.505843997001648;0.9042307138442993;0.9439151883125305;0.5107051730155945;0.5345751047134399;0.47554758191108704
21709581,time;str;love;way;king,1.0;0.600670337677002;0.5001705288887024;0.8053512573242188;0.45411479473114014
909,love;right;look look;wor,1.0;0.45339521765708923;0.8757101893424988;0.5186667442321777
764799,body;everybody youngand;love,1.0;0.353593111038208;0.43313711881637573
4777619,body;runwell,1.0;0.3365606367588043
16646798,way;love;mor;world;love time;young name,1.0;0.6318838000297546;0.3986315429210663;0.36597561836242676;0.7385922074317932;0.52104252576828
38690957,talk;make,0.9999999403953552;0.9912012219429016
5344331,way thankkeep,1.0
70777763,place stthis;body;much onpursu;place;only day;wasit onpursu;love,1.0;0.8106637001037598;0.49987223744392395;0.9999998807907104;0.40780332684516907;0.2733601927757263;0.3637861907482147
24829469,love;thelove way,1.0;0.830126941204071
58285793,name;love;body;long day;look;kand,1.0;0.884698748588562;0.7474611401557922;0.9593721032142639;0.8124404549598694;0.515884280204773
33990755,bus,1.0
33463254,way;king love ing;day;way comingfind;night;point;cre;morning;love,1.0;0.9389272332191467;0.7392804622650146;1.0;0.744971752166748;0.45427775382995605;0.40556100010871887;0.6923173666000366;0.8065385222434998
39827946,way;myfor way;wayfor way way;righ toh way,1.0;1.0;1.0;0.7774442434310913
62310865,ure;girl,1.0;0.7912871241569519
3576478,guy greatlike sky;guy day,0.9999999403953552;0.9777650833129883
681113,world london;world mother;ple home;world lon;world bondon;world lookwhat;world;lot;queen;chang,1.0;0.9557400941848755;0.5102355480194092;0.7718474864959717;0.9828596711158752;0.9828596711158752;0.9828596711158752;0.3077119290828705;0.3405281901359558;0.30854564905166626
764809,body;feel;day;body didn;time,0.9999999403953552;0.26631462574005127;0.24592235684394836;0.7937402725219727;0.27134209871292114
14490443,spe mem day;way;self;time;mor;com;right;side;mind;spe,1.0;0.9434781074523926;0.6216840744018555;0.7943519949913025;0.6214537620544434;0.49806535243988037;0.5631805658340454;0.5681330561637878;0.6713433861732483;0.6730809211730957
19108175,stand;rais;look;day,1.0;0.7333065867424011;0.9796724319458008;0.6948049664497375
6394939,home;woman;boy;love,1.0;0.49697333574295044;0.7419505715370178;0.45360007882118225
5185310,way,1.0
485326,time way;fam way;way;thing;time;friend,0.9999999403953552;0.8014481663703918;0.9557822346687317;0.44580185413360596;0.5776828527450562;0.2381436973810196
20217926,fam;call;time,1.0;0.9627165794372559;0.6932118535041809
43359243,body;boy body ito;boy,1.0;0.9608315825462341;0.5558999180793762
48964310,number body;time,1.0;0.6369785666465759
75901,ger;love;tot;take,1.0;0.7949295043945312;0.7976046800613403;0.6922396421432495
37701565,way;world;ple;moment;love;woman;money,1.0;0.7177818417549133;0.17979466915130615;0.6964223980903625;0.3779326379299164;0.5233663320541382;0.4992292821407318
21649589,str;love;call;day;name;life;time,1.0;0.45135292410850525;0.5319037437438965;0.4829997718334198;0.5965500473976135;0.5171962976455688;0.5175857543945312
66581344,moment;bre;love;time;knowthe day,1.0;0.9454973936080933;0.7956610321998596;0.8881970643997192;0.8878153562545776
32558276,love;friend;way;call care;cur;feelhad love;boy;time;spe,1.0;0.9696540236473083;0.6802132725715637;0.5954524278640747;0.32756346464157104;1.0;0.5388932824134827;0.38325074315071106;0.21126548945903778
