ym_track_id,ym_album_id,track_title,artist_name,cover_url,ym_genre,year,emotions_maybe,audio_path,lyrics_path,cover_path,deezer_genres,artist_country,artist_sex,artist_year,emotions
84165,9061,"Laugh, I Nearly Died",The Rolling Stones,avatars.yandex.net/get-music-content/49876/941468b7.a.9061-1/1000x1000,rock,2005.0,comfortable,data/audios/84165.mp3,data/lyrics/84165.txt,data/covers/84165:1000x1000.jpg,Rock,,,,
378874,2259374,Althea,Grateful Dead,avatars.yandex.net/get-music-content/34131/c23b7d9c.a.2259374-1/1000x1000,rock,2014.0,comfortable,data/audios/378874.mp3,,data/covers/378874:1000x1000.jpg,Pop|Rock,,,,comfortable|soulful
3644979,447766,Time of the Season,The Zombies,avatars.yandex.net/get-music-content/28589/6ef110fc.a.447766-2/1000x1000,rock,2010.0,comfortable,data/audios/3644979.mp3,,data/covers/3644979:1000x1000.jpg,Pop|Rock,,,,
975,7054,Have You Ever Seen The Rain,Creedence Clearwater Revival,avatars.yandex.net/get-music-content/42108/ddc928ca.a.7054-1/1000x1000,rock,2008.0,comfortable,data/audios/975.mp3,data/lyrics/975.txt,data/covers/975:1000x1000.jpg,Rock,,,,
37390,3096,When You're Gone,The Cranberries,avatars.yandex.net/get-music-content/34131/83bed2bf.a.3096-1/1000x1000,rock,2002.0,comfortable|quiet|sadness,data/audios/37390.mp3,data/lyrics/37390.txt,data/covers/37390:1000x1000.jpg,Rock,,,,comfortable|quiet|sadness
645159,7551257,Mrs. Robinson,Simon & Garfunkel,avatars.yandex.net/get-music-content/97284/311aadc0.a.7551257-2/1000x1000,folkrock,1997.0,comfortable|nostalgic,data/audios/645159.mp3,data/lyrics/645159.txt,data/covers/645159:1000x1000.jpg,Folk,,,,comfortable|nostalgic
10637488,1154880,The Chain,Fleetwood Mac,avatars.yandex.net/get-music-content/32236/3fa43369.a.1154880-1/1000x1000,rock,1977.0,comfortable|passionate|sadness|soulful|sweet|relaxed,data/audios/10637488.mp3,data/lyrics/10637488.txt,data/covers/10637488:1000x1000.jpg,Rock,,,,sadness|soulful|sweet
632004,70787,Perfect Day,Lou Reed,avatars.yandex.net/get-music-content/49876/afee9f7a.a.70787-1/1000x1000,rock,1999.0,comfortable|quiet,data/audios/632004.mp3,,data/covers/632004:1000x1000.jpg,Pop|International Pop|Rock,,,,quiet
26278,5671300,Sinnerman,Nina Simone,avatars.yandex.net/get-music-content/192707/e0404397.a.5671300-1/1000x1000,jazz,2003.0,comfortable|happy,data/audios/26278.mp3,data/lyrics/26278.txt,data/covers/26278:1000x1000.jpg,Jazz,,,,
153095,14800,You Send Me,Aretha Franklin,avatars.yandex.net/get-music-content/119639/db8db106.a.14800-3/1000x1000,soul,2001.0,comfortable,data/audios/153095.mp3,data/lyrics/153095.txt,data/covers/153095:1000x1000.jpg,R&B,,,,comfortable
