INPUT:audio_path,INPUT:image_first,INPUT:image_second,OUTPUT:result,GOLDEN:result,HINT:text,HINT:default_language
https://sky4uk.xyz/static/data/audios/43618534.mp3,https://sky4uk.xyz/static/data/images/43618534_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-67.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/18088709.mp3,https://sky4uk.xyz/static/data/images/18088709_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-488.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/351717.mp3,https://sky4uk.xyz/static/data/images/351717_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-558.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/2093847.mp3,https://sky4uk.xyz/static/data/images/2093847_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-922.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/28060067.mp3,https://sky4uk.xyz/static/data/images/28060067_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-107.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/38856284.mp3,https://sky4uk.xyz/static/data/images/38856284_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-4.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/46527255.mp3,https://sky4uk.xyz/static/data/images/46527255_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-888.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/692297.mp3,https://sky4uk.xyz/static/data/images/692297_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-607.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/34339661.mp3,https://sky4uk.xyz/static/data/images/34339661_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-792.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/2983605.mp3,https://sky4uk.xyz/static/data/images/2983605_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-807.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/795836.mp3,https://sky4uk.xyz/static/data/images/795836_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-4.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/25200.mp3,https://sky4uk.xyz/static/data/images/25200_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-850.jpg,FIRST,,,
https://sky4uk.xyz/static/data/audios/7878689.mp3,https://sky4uk.xyz/static/data/images/7878689_gen.jpg,https://sky4uk.xyz/static/data/images-cover-art-generation/data_2/image-790.jpg,FIRST,,,
